,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6,0.042206106681660575,7.861143770766627e-10,0.03794171255360923,0.06051264063473411,0.023871249088955025,0.004264377453700738,1824.2830060422928,1847.007745903322,11.13,0.9999999939185126,-0.5988769724089481,70.0
1,0.7000000000000001,0.0476422358266452,3.353071094915352e-08,0.04357189357009568,0.0789342286928398,0.016347793200722185,0.0040703017224529275,1551.6563336390273,1609.2202998711437,10.41,0.9999999999932422,-0.6613340113095605,70.0
2,0.7999999999999998,0.05273657242059785,1.5868004834377392e-06,0.04733474489378194,0.09767358221953418,0.007792661397816618,0.005396649878490082,1316.884259756885,1411.3662825914791,10.8,0.9999999999999956,-0.6861527218945603,70.0
3,0.9,0.05752036890287269,0.00026974669474647597,0.052610729750650724,0.11247721903807335,0.0020230118639603667,0.004638883270218666,1108.4161941927432,1283.7192518862776,10.5,1.0,-0.621427425337031,70.0
4,1.0000000000000002,0.06202118024112563,0.004888300380633324,0.05336061450277365,0.11314427560381386,0.0011196167017458384,0.003770467409440389,1041.625324422693,1221.3717174163683,10.540000000000001,1.0,-0.47460616922014237,70.0
5,1.1,0.0662633950319003,0.010649317133192024,0.05191163184387203,0.11029553274020358,0.0009291974451867308,0.003699303303302257,1022.5138781023426,1192.045161414792,10.6,1.0,-0.35895723066945784,70.0
6,1.2000000000000002,0.07026867761361574,0.016301183477732087,0.0502029106381427,0.10709539069104249,0.0008343637599508168,0.0037599715723455225,1011.3681525898049,1172.165666612409,10.650000000000002,1.0,-0.2898978879097451,70.0
7,1.3,0.07405633811456529,0.021718942856144195,0.04846736404639979,0.10389640035972514,0.0007712067957224596,0.003863914852699793,1003.3206936560906,1156.4438682084156,10.690000000000001,1.0,-0.24547300352399312,70.0
8,1.4,0.0776436437779331,0.026883839177965708,0.046768063908063116,0.10078689035539225,0.0007234727802869707,0.003984097928996216,996.9225418544437,1143.1801484475818,10.730000000000002,1.0,-0.2120694907787296,70.0
9,1.5999999999999999,0.08427758463387404,0.0364802668209788,0.043551662271829376,0.09492888349849288,0.0006520656729925347,0.0042348752496323945,986.8938223312447,1121.2034031854464,10.81,1.0,-0.1650060300161571,70.0
10,1.8000000000000003,0.09027684322113733,0.04518336774802261,0.040603234396713456,0.08957019031231506,0.0005982261826844759,0.004476165309420639,979.0099390309656,1103.13681924083,10.870000000000001,1.0,-0.13330220933535364,510.0
11,2.0,0.09572834341565047,0.05309963798318527,0.037912628354487575,0.08467915461836466,0.0005544927125428003,0.004698520011406094,972.4149427920596,1087.656708789187,10.93,1.0,-0.11045387280743946,510.0
12,2.1999999999999997,0.1007038290401645,0.06032542877977707,0.03545734077661891,0.08021001599183619,0.0005174489413869529,0.00489983516097852,966.6881899715877,1074.0581041948851,10.990000000000002,1.0,-0.0932214171806306,510.0
13,2.4000000000000004,0.10526303897497818,0.06694413427892505,0.03321334092644215,0.07611738166604254,0.0004852405429159226,0.005080504284683086,961.5894190867326,1061.903013339568,11.05,0.9999999999999999,-0.07980104355946871,510.0
14,2.6000000000000005,0.10945611732802862,0.07302713648213163,0.0311581387354168,0.07235995414588454,0.0004567402578571675,0.005241809074861273,956.9674367501754,1050.8978977250579,11.11,0.9999999999999989,-0.06910172541102072,510.0
