,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6,0.042206106681660575,1.3222543737775435e-09,0.0361472426714382,0.062305147724560396,0.022076815010343646,0.006058856227279936,1830.4992373453033,1877.0355096952703,14.530000000000001,0.9999999944095735,-0.2755830677104165,70.0
1,0.7,0.0476422358266452,3.3906455069035875e-07,0.03765041530783803,0.08484005706281705,0.010435983477230869,0.009986948645308975,1573.8865168470638,1605.6791808091264,16.150000000000002,0.9999999999855455,-0.1572776477282073,70.0
2,0.8,0.05273657242059785,3.851021608832623e-05,0.04022893111374909,0.10423807496645555,0.0010225130901199246,0.012334626515256257,1347.1701302668398,1458.501159476489,17.720000000000002,0.9999999999916345,-0.11900466580502325,70.0
3,0.8999999999999998,0.05752036890287269,0.01006764686605012,0.03181600627534235,0.09381682306953708,0.000753162623719766,0.01530538082912668,1404.9919714400112,1419.1991444666362,18.94,0.9885779822191197,-0.09833209080763045,70.0
4,1.0000000000000002,0.06202118024112563,0.01961271762077731,0.026241821628776203,0.08355488360036938,0.0008531328733125534,0.01576915988541425,1391.744528538233,1391.96060667684,19.85,0.9455613780472509,-0.08408181201694509,70.0
5,1.1,0.0662633950319003,0.027294145038340694,0.022761032394372337,0.07661958124308567,0.0008848119452050533,0.01579234570868907,1369.0025586443237,1369.0688554018666,19.990000000000002,0.9171552071809286,-0.07330238784676799,70.0
6,1.2000000000000002,0.07026867761361574,0.03378625902310787,0.02029787577799807,0.07163706034540818,0.0008894256096311981,0.015770528358425386,1348.621985321798,1348.6651330168722,19.990000000000002,0.9008062396485116,-0.06487493993252713,70.0
7,1.2999999999999998,0.07405633811456527,0.03949636342133807,0.018411897075261103,0.06779995954621079,0.0008823912110613237,0.01574198658469685,1330.7683959147894,1330.809504999763,19.990000000000002,0.8916921468117985,-0.05815528501377509,510.0
8,1.4,0.0776436437779331,0.044648976276165035,0.016888979703582867,0.06468707047166017,0.0008701924117420575,0.015710258454687976,1314.9010840095625,1314.9490565397568,19.990000000000002,0.8870851007715654,-0.05268227215127208,510.0
9,1.5999999999999999,0.08427758463387405,0.053737718294676,0.014524794738046258,0.0598118955484133,0.000839999288018203,0.015636897003131357,1287.5505000404312,1287.6148082194918,20.32,0.8856837647239089,-0.044219318282098796,510.0
10,1.8000000000000003,0.09027684322113733,0.061644972559465175,0.012721498845634636,0.05602690862602885,0.0008084995871145524,0.01554443459441944,1264.265493123049,1264.33720133844,20.43,0.8898353068474596,-0.037814161680907454,510.0
11,2.0,0.09572834341565047,0.06867231595896148,0.011267864173893511,0.05290181521185994,0.0007782042811017759,0.015430392082666595,1243.7702351416,1243.8409095854072,20.470000000000002,0.8965758630868383,-0.03318545937990164,510.0
12,2.1999999999999997,0.1007038290401645,0.07500166880730115,0.01005451913945387,0.05021709544837831,0.0007497279309553469,0.015295219224366411,1225.3104505113402,1225.3751785121287,20.48,0.9044288098814781,-0.029289428010086105,510.0
13,2.4000000000000004,0.10526303897497818,0.0807553477873328,0.009018030311774866,0.04784853973133094,0.0007231252348254578,0.015140740316902102,1208.4099141200236,1208.4665320398474,20.450000000000003,0.9126015029106423,-0.02624857702126504,510.0
14,2.6000000000000005,0.10945611732802862,0.08602178113742706,0.008118424598317135,0.04572032708836113,0.0006982868904389524,0.014969317364955095,1192.7518023782989,1192.7998504944758,20.380000000000003,0.9206524623225184,-0.023697244694201314,510.0
